interval,ampm,week,day,id
80,PM,13,Saturday,20160402200942-02-01
82,PM,13,Saturday,20160402204331-06-00
81,PM,13,Saturday,20160402202056-04-01
80,PM,13,Saturday,20160402200334-01-00
83,PM,13,Saturday,20160402205530-10-00
83,PM,13,Saturday,20160402205255-09-00
81,PM,13,Saturday,20160402202002-03-00
83,PM,13,Saturday,20160402204521-07-01
84,PM,13,Saturday,20160402211057-17-01
83,PM,13,Saturday,20160402205601-11-01
81,PM,13,Saturday,20160402202116-05-01
84,PM,13,Saturday,20160402210836-15-00
84,PM,13,Saturday,20160402210211-12-00
84,PM,13,Saturday,20160402210809-14-00
85,PM,13,Saturday,20160402211908-20-01
88,PM,13,Saturday,20160402220800-26-01
83,PM,13,Saturday,20160402204612-08-00
94,PM,13,Saturday,20160402233733-41-01
88,PM,13,Saturday,20160402220817-27-01
84,PM,13,Saturday,20160402211003-16-00
85,PM,13,Saturday,20160402212358-22-00
89,PM,13,Saturday,20160402222732-31-00
85,PM,13,Saturday,20160402212129-21-01
28,AM,14,Sunday,20160403070729-48-00
94,PM,13,Saturday,20160402233842-43-01
90,PM,13,Saturday,20160402223029-34-01
84,PM,13,Saturday,20160402211313-18-00
89,PM,13,Saturday,20160402222745-32-01
85,PM,13,Saturday,20160402211831-19-00
30,AM,14,Sunday,20160403074439-59-01
87,PM,13,Saturday,20160402215524-23-00
28,AM,14,Sunday,20160403070244-47-01
93,PM,13,Saturday,20160402232705-35-00
88,PM,13,Saturday,20160402221028-28-01
88,PM,13,Saturday,20160402220523-24-01
34,AM,14,Sunday,20160403083022-68-01
30,AM,14,Sunday,20160403073806-51-00
88,PM,13,Saturday,20160402220624-25-01
89,PM,13,Saturday,20160402222854-33-01
89,PM,13,Saturday,20160402222642-30-01
89,PM,13,Saturday,20160402222001-29-00
35,AM,14,Sunday,20160403085010-74-00
94,PM,13,Saturday,20160402233650-40-00
30,AM,14,Sunday,20160403073929-53-00
30,AM,14,Sunday,20160403073552-49-00
32,AM,14,Sunday,20160403080543-66-00
93,PM,13,Saturday,20160402232805-36-00
35,AM,14,Sunday,20160403085212-76-00
94,PM,13,Saturday,20160402233532-39-01
31,AM,14,Sunday,20160403074649-62-00
30,AM,14,Sunday,20160403074304-58-01
35,AM,14,Sunday,20160403084903-73-01
84,PM,13,Saturday,20160402210313-13-00
94,PM,13,Saturday,20160402233813-42-01
35,AM,14,Sunday,20160403085510-78-00
34,AM,14,Sunday,20160403084428-69-00
35,AM,14,Sunday,20160403085604-80-00
95,PM,13,Saturday,20160402235006-44-00
30,AM,14,Sunday,20160403074001-54-00
35,AM,14,Sunday,20160403085943-84-01
30,AM,14,Sunday,20160403073856-52-00
37,AM,14,Sunday,20160403092457-105-00
35,AM,14,Sunday,20160403085553-79-00
31,AM,14,Sunday,20160403074519-60-01
36,AM,14,Sunday,20160403090604-90-00
93,PM,13,Saturday,20160402232907-37-00
27,AM,14,Sunday,20160403065324-45-00
30,AM,14,Sunday,20160403074046-55-00
38,AM,14,Sunday,20160403093709-113-01
35,AM,14,Sunday,20160403085632-82-00
36,AM,14,Sunday,20160403090456-88-01
36,AM,14,Sunday,20160403091310-94-00
32,AM,14,Sunday,20160403080233-64-00
94,PM,13,Saturday,20160402233001-38-01
39,AM,14,Sunday,20160403095047-115-00
35,AM,14,Sunday,20160403085823-83-00
36,AM,14,Sunday,20160403090251-86-01
37,AM,14,Sunday,20160403091817-98-00
35,AM,14,Sunday,20160403085057-75-01
30,AM,14,Sunday,20160403074156-57-00
36,AM,14,Sunday,20160403090830-91-01
27,AM,14,Sunday,20160403065953-46-00
36,AM,14,Sunday,20160403091004-92-00
40,AM,14,Sunday,20160403100806-122-01
37,AM,14,Sunday,20160403091845-99-01
37,AM,14,Sunday,20160403091644-96-00
35,AM,14,Sunday,20160403085353-77-00
31,AM,14,Sunday,20160403075247-63-01
30,AM,14,Sunday,20160403073617-50-01
38,AM,14,Sunday,20160403093252-109-01
38,AM,14,Sunday,20160403093157-107-01
41,AM,14,Sunday,20160403102208-127-00
39,AM,14,Sunday,20160403095446-116-01
37,AM,14,Sunday,20160403091941-100-00
36,AM,14,Sunday,20160403090119-85-00
37,AM,14,Sunday,20160403091743-97-01
32,AM,14,Sunday,20160403081450-67-00
41,AM,14,Sunday,20160403102636-128-01
38,AM,14,Sunday,20160403093341-110-01
40,AM,14,Sunday,20160403100744-121-01
30,AM,14,Sunday,20160403074135-56-00
37,AM,14,Sunday,20160403092411-104-01
35,AM,14,Sunday,20160403084517-70-00
38,AM,14,Sunday,20160403093224-108-00
42,AM,14,Sunday,20160403103848-135-00
42,AM,14,Sunday,20160403103431-131-00
38,AM,14,Sunday,20160403093423-111-00
40,AM,14,Sunday,20160403100642-119-01
31,AM,14,Sunday,20160403074623-61-00
39,AM,14,Sunday,20160403094925-114-01
42,AM,14,Sunday,20160403104108-138-01
39,AM,14,Sunday,20160403095543-117-01
35,AM,14,Sunday,20160403084646-71-01
40,AM,14,Sunday,20160403101347-125-00
39,AM,14,Sunday,20160403095711-118-00
32,AM,14,Sunday,20160403080303-65-00
43,AM,14,Sunday,20160403104658-148-01
42,AM,14,Sunday,20160403104257-141-00
40,AM,14,Sunday,20160403100715-120-00
42,AM,14,Sunday,20160403103342-130-00
35,AM,14,Sunday,20160403084828-72-01
42,AM,14,Sunday,20160403103522-132-01
42,AM,14,Sunday,20160403103711-133-00
43,AM,14,Sunday,20160403105151-152-00
43,AM,14,Sunday,20160403105033-151-01
42,AM,14,Sunday,20160403103825-134-00
